"Рег. номер cертификата соответствия (СС)","Номер бланка","Заявитель","Юридический адрес заявителя","Контакты заявителя","Изготовитель","Юридический адрес изготовителя","Контакты изготовителя","Наименование продукции","Датавыдачи СС","Дата окончания действия СС","Класс","Схема","Органпосертификации","ЦОС","Примечание"
"ОГН3.RU.1102.B00127","П01016; ПП 00379; ПП 00380","Акционерное общество Трубодеталь»","Российская Федерация, 454904, г. Челябинск, ул. Челябинская, д.23","+7(351)216-02-68; 216-02-70; info@trubodetal.ru","Акционерное общество Трубодеталь»","Российская Федерация, 454904, г. Челябинск, ул. Челябинская, д.23","+7(351)216-02-68; 216-02-70; info@trubodetal.ru","Отводы, в том числе крутоизогнутые отводы, изготовленные методом индукционного нагрева труб (шифр группы однородной продукции СДТО-2) по ТУ 1469-013-04834179-2014 с изменением №1, серийный выпуск","16.12.2019","15.12.2023","Ia","1а","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН3.RU.1102 (АС Русский Регистр»)","Трубная продукция","Продлен на 1 год. Решение о продлении срока действия сертификата соответствия № 20.0161.14 от 21.09.2022 г. (Основание: письмо № 06/46-1346 от 25.03.2022 ПАО ""Газпром"")"
"ОГН3.RU.1102.B00128","П01015; ПП 00378","Общество с ограниченной ответственностью Ижорский трубопрокатный завод»","Российская Федерация, 196650, г. Санкт-Петербург, город Колпино, территория Ижорский завод, д.32, литер АЩ, пом. 17-Н, ком. 12","+7(812)347-89-47; itk@itpz.ru","Общество с ограниченной ответственностью Ижорский трубопрокатный завод»","Российская Федерация, 196650, г. Санкт-Петербург, город Колпино, территория Ижорский завод, д.32, литер АЩ, пом. 17-Н, ком. 12","+7(812)347-89-47; itk@itpz.ru","Трубы бесшовные для газопроводов, газлифтных систем добычи и оборудования газовых месторождений в обычном исполнении (шифр группы однородной продукции ТБГ-1), изготавливаемые по ГОСТ 8731-74 с изм. №№2-6, серийный выпуск","23.12.2019","22.12.2023","1d","1d","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН3.RU.1102 (АС Русский Регистр»)","Трубная продукция","Продлен на 1 год. Решение о продлении срока действия сертификата соответствия № 21.0156.14 от 21.09.2022 г. (Основание: письмо № 06/46-1346 от 25.03.2022 ПАО ""Газпром"")"
"ОГН3.RU.1102.B00194","П01287; ПП 02030","Акционерное общество Ижорский трубный завод» (АО Ижорский трубный завод»)","Российская Федерация, 196650, г. Санкт-Петербург, г. Колпино, Территория Ижорский завод, дом 90, лит. Д, помещение 1-Н","+7(812)448-48-24; 461-98-07; ev.mogbolu@severstal.com; info@itz.severstal.com","Акционерное общество Ижорский трубный завод» (АО Ижорский трубный завод»)","Российская Федерация, 196650, г. Санкт-Петербург, г. Колпино, Территория Ижорский завод, дом 90, лит. Д, помещение 1-Н","+7(812)448-48-24; 461-98-07; ev.mogbolu@severstal.com; info@itz.severstal.com","Трубы стальные электросварные прямошовные, предназначенные для строительства, реконструкции и капитального ремонта магистральных трубопроводов, на рабочее давление до 11,8 МПа включительно и промысловых трубопроводов на давление до 12,9 Мпа, изготовленные из стали классов прочности до К60 (Х70) (шифр группы однородной продукции ТЭСП-3), изготавливаемые по ТУ 24.20.21-029-47966425-2019 с изменением № 1, серийный выпуск","23.11.2020","22.11.2023","Iа","1а","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН3.RU.1102 (АС Русский Регистр»)","Трубная продукция",""
"ОГН3.RU.1102.B00234","П01694; ПП 01434","Акционерное общество Выксунский металлургический завод»","Российская Федерация, 607061, Нижегородская область, г. Выкса, ул. Братьев Баташевых, д. 45","+7(800)250-11-50; (83177)3-76-05; vmz@vsw.ru","Акционерное общество Выксунский металлургический завод»","Российская Федерация, 607061, Нижегородская область, г. Выкса, ул. Братьев Баташевых, д. 45","+7(800)250-11-50; (83177)3-76-05; vmz@vsw.ru","Трубы стальные электросварные прямошовные, предназначенные для строительства, реконструкции и капитального ремонта  магистральных трубопроводов, на рабочее давление до 10 МПа включительно (шифр группы однородной продукции ТЭСП-2), изготавливаемые по ГОСТ 20295-85 с изм. №№ 1-4, ГОСТ 31447-2012 с поправкой, серийный выпуск","29.04.2021","28.04.2024","IIа","2а","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН3.RU.1102 (АС Русский Регистр»)","Трубная продукция",""
"ОГН3.RU.1102.B00236","П01696; ПП 01436","Акционерное общество Первоуральский новотрубный завод»","Российская Федерация, 623100, Свердловская область, г. Первоуральск, ул. Торговая, д.1","+7(3439)27-77-77; 27-60-77; torgdom@chelpipegroup.com","Акционерное общество Первоуральский новотрубный завод»","Российская Федерация, 623100, Свердловская область, г. Первоуральск, ул. Торговая, д.1","+7(3439)27-77-77; 27-60-77; torgdom@chelpipegroup.com","Трубы бесшовные для паровых котлов и трубопроводов холоднодеформированные (шифр группы однородной продукции ТБК-Х), изготавливаемые по ГОСТ 8733-74 с изм. №№ 1-4 (за исключением п. 1.7), серийный выпуск","29.04.2021","28.04.2024","Iа","1а","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН3.RU.1102 (АС Русский Регистр»)","Трубная продукция",""
"ОГН3.DE.1103.A00171","П02043; ПП 02044","Общество с ограниченной ответственностью Регионстрой»","Российская Федерация, 143002, Московская обл, Одинцовский р-н, г. Одинцово, ул. Западная, д.6","+7(495)114-54-84; info@oooregionstroy.ru","Europipe GmbH / Mill Dunkirk","45473 M?lheim an der Ruhr, Pilgerstra?e 2, Germany","+49(0)208 976 - 0; 208 976 - 30 00; europipe@turopipe.com","Трубы стальные электросварные прямошовные, предназначенные для строительства, реконструкции и капитального ремонта магистральных трубопроводов, на рабочее давление до 10 МПа включительно (шифр группы однородной продукции ТЭСП-2), изготовленные по ТУ 1381-007-EPET-2008. Партия труб по сертификатам качества Europipe GmbH / Mill Dunkirk № 11-0016 от 18.04.2011, № 11-0017 от 26.04.2011, № 11-0018 от 26.04.2011, № 11-0019 от 02.05.2011 и проекту строительства ""Строительство и реконструкция автомобильной дороги М-4 ""Дон"" от Москвы через Воронеж, Ростов-на-Дону, Краснодар до Новороссийска. Строительство с последующей эксплуатацией на платной основе автомобильной дороги М-4 ""Дон"" от Москвы через Воронеж, Ростов-на-Дону, Краснодар до Новороссийска на участке КМ633-КМ715 (обход с.Лосево и г. Павловск) Воронежская область"", в количестве 1336 шт","20.04.2020","","Ie","1e","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1103.A00172","П02044; ПП 02045","Общество с ограниченной ответственностью Регионстрой»","Российская Федерация, 143002, Московская обл, Одинцовский р-н, г. Одинцово, ул. Западная, д.6","+7(495)114-54-84; info@oooregionstroy.ru","Акционерное общество Волжский трубный завод»","Российская Федерация, 404119, Волгоградская обл., г. Волжский, ул.7-ая Автодорога, д.6","+7(8443)55-17-70; 25-69-02; vtz@vtz.ru","Трубы стальные с наружным трёхслойным антикоррозионным полиэтиленовым покрытием (шифр группы однородной продукции Т-НАКП), изготовленные по ТУ 14-156-74-2008. Партия труб по сертификатам качества ОАО ""ВТЗ"" №№ 13051, 13053, 13054, 13057?13059 от 26.10.2013, № 13088 от 27.10.2013, №№ 13100, 13102, 13105?13107, 13113, 13124 от 28.10.2013, №№ 13132, 13133 от 30.10.2013 и проекту строительства ""Строительство и реконструкция автомобильной дороги М-4 ""Дон"" от Москвы через Воронеж, Ростов-на-Дону, Краснодар до Новороссийска. Строительство с последующей эксплуатацией на платной основе автомобильной дороги М-4 ""Дон"" от Москвы через Воронеж, Ростов-на-Дону, Краснодар до Новороссийска на участке КМ633-КМ715 (обход с.Лосево и г. Павловск) Воронежская область"", в количестве 64 шт.","20.04.2020","","Ie","1e","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.DE.1103.A00176","П02045; ПП 02046","Общество с ограниченной ответственностью Регионстрой»","Российская Федерация, 143002, Московская обл, Одинцовский р-н, г. Одинцово, ул. Западная, д.6","+7(495)114-54-84; info@oooregionstroy.ru","Europipe GmbH / Mill Dunkirk","45473 M?lheim an der Ruhr, Pilgerstra?e 2, Germany","+49(0)208 976 - 0; 208 976 - 30 00; europipe@turopipe.com","Трубы стальные с наружным трёхслойным антикоррозионным полиэтиленовым покрытием (шифр группы однородной продукции Т-НАКП), изготовленные по ТУ 7200-200-02-2010. Партия труб по сертификатам качества Europipe GmbH / Mill Dunkirk № 11-0016 от 18.04.2011, № 11-0017 от 26.04.2011, № 11-0018 от 26.04.2011, № 11-0019 от 02.05.2011 и проекту строительства ""Строительство и реконструкция автомобильной дороги М-4 ""Дон"" от Москвы через Воронеж, Ростов-на-Дону, Краснодар до Новороссийска. Строительство с последующей эксплуатацией на платной основе автомобильной дороги М-4 ""Дон"" от Москвы через Воронеж, Ростов-на-Дону, Краснодар до Новороссийска на участке КМ633-КМ715 (обход с.Лосево и г. Павловск) Воронежская область"", в количестве 1336 шт.","24.04.2020","","Ie","1e","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1103.B00188","П02374; ПП 02281","Акционерное общество Ижорский трубный завод» (АО Ижорский трубный завод»)","Российская Федерация, 196650, г. Санкт-Петербург, г. Колпино, Территория Ижорский завод, дом 90, лит. Д, помещение 1-Н","+7(812)448-48-24; 461-98-07; info@itz.severstal.com","Акционерное общество Ижорский трубный завод» (АО Ижорский трубный завод»)","Российская Федерация, 196650, г. Санкт-Петербург, г. Колпино, Территория Ижорский завод, дом 90, лит. Д, помещение 1-Н","+7(812)448-48-24; 461-98-07; info@itz.severstal.com","Трубы стальные электросварные прямошовные, предназначенные для строительства, реконструкции и капитального ремонта магистральных трубопроводов на рабочее давление до 10 МПа включительно (шифр подгруппы однородной продукции ТЭСП-2), изготавливаемые по ГОСТ 20295-85 с изменениями № 1, № 2, № 3, № 4; ГОСТ 10706-76 с изменениями № 1, № 2, № 3, № 4; ГОСТ 31447-2012 с поправкой. Серийный выпуск.","11.11.2020","10.11.2023","Iа","1а","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1103.B00189","П01353; ПП 02321","Общество с ограниченной ответственностью НОВЫЙ ЗАВОД» (ООО НОВЫЙ ЗАВОД»)","Российская Федерация, 620141, Свердловская область, г. Екатеринбург, ул. Завокзальная, д. 5, ЛИТЕР Б.Б1.Л","+7(343)253-05-05; newplant@bk.ru","Общество с ограниченной ответственностью НОВЫЙ ЗАВОД» (ООО НОВЫЙ ЗАВОД»)","Российская Федерация, 620141, Свердловская область, г. Екатеринбург, ул. Завокзальная, д. 5, ЛИТЕР Б.Б1.Л","+7(343)253-05-05; newplant@bk.ru","Отводы прочие (угольники точеные) (шифр группы однородной продукции СДТО-0), изготавливаемые по ГОСТ 22820-83, ГОСТ Р 55599-2013. Серийный выпуск.","16.11.2020","15.11.2023","Id","1d","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1103 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
